Cod_Prod	Nom_Prod	Concent	Nom_Form_Farm	Presentac	Fracción	Num_RegSan	Nom_Titular	Nom_Fabricante	Nom_IFA	Nom_Rubro	Situación
41741	CLORURO DE SODIO	0.9 %	Solución Inyectable Para Infusión	Caja Bolsa x 100 mL	80	EE01064	JPS DISTRIBUCIONES E.I.R.L	SHIJIAZHUANG Nº4 PHARMACEUTICAL CO. LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
44418	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Ampolla x 5 mL	100	EE00062	SANDERSON S.A.	LABORATORIO SANDERSON S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
44151	CLORURO DE SODIO	20 %	Solución Inyectable	Caja Ampolla x 20 mL	25	EN04537	MEDIFARMA S.A.	MEDIFARMA S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
43698	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Frasco x 100 mL	20	EE00062	SANDERSON S.A.	LABORATORIO SANDERSON S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
43756	CLORURO DE SODIO	20 %	Solución Inyectable	Caja Ampolla x 20 mL	50	EN04537	MEDIFARMA S.A.	MEDIFARMA S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
43883	CLORURO DE SODIO	9 ‰	Solución Inyectable	Frasco x 250 mL 	1	EN02524	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
44629	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Ampolla x 20 mL	25	EE04263	LABORATORIOS AMERICANOS S.A. - LABOT S.A.	ZHEJIANG	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
44688	CLORURO DE SODIO	9 ‰	Solución para Perfusión	Caja Bolsa x 100 mL 	36	EN04226	MEDIFARMA S.A.	MEDIFARMA S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
37836	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Ampolla x 10 mL	200	EN01112	LABORATORIOS UNIDOS S.A. - LUSA	LABORATORIOS UNIDOS S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
37447	CLORURO DE SODIO	0.9 %	Solución Inyectable Para Infusión	Frasco x 1 L	1	EE01064	JPS DISTRIBUCIONES E.I.R.L	SHIJIAZHUANG Nº4 PHARMACEUTICAL CO. LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
37590	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Ampolla x 10 mL	25	EN01112	LABORATORIOS UNIDOS S.A. - LUSA	LABORATORIOS UNIDOS S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
37694	CLORURO DE SODIO	20 %	Concentrado para Solución para Perfusión	Caja Ampolla x 20 mL	25	EE01321	PHARMAGEN S.A.C.	HEBEI TIANCHENG PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
41051	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Ampolla x 20 mL	25	EN01112	LABORATORIOS UNIDOS S.A. - LUSA	LABORATORIOS UNIDOS S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
40963	CLORURO DE SODIO	0.9 %	Solución Inyectable	Sobrebolsa Bolsa x 1000 mL	1	EE00488	HERSIL S.A.C. LABORATORIOS INDUSTRIALES FARMACEUTICOS	LABORATORIOS BAXTER S.A. - COLOMBIA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
41225	CLORURO DE SODIO	9 ‰	Solución Inyectable	Frasco x 100 mL	1	EN02524	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
41229	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Ampolla x 5 mL	25	EN01112	LABORATORIOS UNIDOS S.A. - LUSA	LABORATORIOS UNIDOS S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
41586	CLORURO DE SODIO	0.9 %	Solución Inyectable Para Infusión	Caja Frasco x 1 L	12	EE01064	JPS DISTRIBUCIONES E.I.R.L	SHIJIAZHUANG Nº4 PHARMACEUTICAL CO. LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
39872	CLORURO DE SODIO	9 ‰	Solución Inyectable	Caja Frasco x 100 mL	50	EN02524	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
39873	CLORURO DE SODIO	9 ‰	Solución Inyectable	Caja Frasco x 250 mL	20	EN02524	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
39874	CLORURO DE SODIO	9 ‰	Solución Inyectable	Caja Frasco x 1000 mL	12	EN02524	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
39694	CLORURO DE SODIO	9 ‰	Solución Inyectable	Frasco X 1 L	1	EN02524	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
36902	CLORURO DE SODIO	0.9 %	Solución Inyectable Para Infusión	Frasco x 500 mL	1	EE01064	JPS DISTRIBUCIONES E.I.R.L	SHIJIAZHUANG Nº4 PHARMACEUTICAL CO. LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
36903	CLORURO DE SODIO	0.9 %	Solución Inyectable Para Infusión	Frasco X 100 mL	1	EE01064	JPS DISTRIBUCIONES E.I.R.L	SHIJIAZHUANG Nº4 PHARMACEUTICAL CO. LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
35817	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Ampolla x 20 mL	100	EE00062	SANDERSON S.A.	LABORATORIO SANDERSON S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
34116	CLORURO DE SODIO	0.9 %	Solución Inyectable	Envase  X 100 mL	12	NG2775	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	MEDICAMENTO GENERICO	ACT
34117	CLORURO DE SODIO	0.9 %	Solución Inyectable	Frasco X 250 mL	1	NG2775	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	MEDICAMENTO GENERICO	ACT
34149	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Bolsa X 500 mL	28	EE00062	SANDERSON S.A.	LABORATORIO SANDERSON S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
34150	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Bolsa X 100 mL	95	EE00062	SANDERSON S.A.	LABORATORIO SANDERSON S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
34151	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Bolsa x 250 mL	50	EE00062	SANDERSON S.A.	LABORATORIO SANDERSON S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
33373	CLORURO DE SODIO	0.9 %	Solución Inyectable	Frasco X 100 mL	1	EE00062	SANDERSON S.A.	LABORATORIO SANDERSON S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
32293	CLORURO DE SODIO	0.9 %	Solución Inyectable	Envase x 250 mL	1	NG2775	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	MEDICAMENTO GENERICO	ACT
28700	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Ampolla x 5 mL	25	NG810	LABORATORIOS UNIDOS S.A. - LUSA	LABORATORIOS UNIDOS S.A.	CLORURO DE SODIO	MEDICAMENTO GENERICO	ACT
28583	CLORURO DE SODIO	0.9 %	Solución Inyectable	Envase  X 500 mL	1	NG2775	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	MEDICAMENTO GENERICO	ACT
28913	CLORURO DE SODIO	0.9 %	Solución Inyectable	Envase  X 100 mL	24	NG2775	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	MEDICAMENTO GENERICO	ACT
2857	CLORURO DE SODIO	0.9 %	Solución Inyectable	Envase  X 1 L	1	NG2775	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	MEDICAMENTO GENERICO	ACT
2858	CLORURO DE SODIO	0.9 %	Solución Inyectable	Envase  X 100 mL	1	NG2775	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	MEDICAMENTO GENERICO	ACT
56795	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Caja Frasco x 250 mL	40	EE09983	DROGUERIA DANY S.A.C.	SHANDONG QIDU  PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
56861	CLORURO DE SODIO	0.9 %	Solución Inyectable	Frasco x 250 mL	1	EN02524	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
56862	CLORURO DE SODIO	0.9 %	Solución Inyectable	Frasco x 500 mL	1	EN02524	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
56536	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Caja Frasco x 250 mL	40	EE05745	LABORATORIOS AMERICANOS S.A. - LABOT S.A.	CISEN PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
56538	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Caja Frasco x 500 mL	30	EE05745	LABORATORIOS AMERICANOS S.A. - LABOT S.A.	CISEN PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
56466	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Caja Frasco x 100 mL	50	EE05745	LABORATORIOS AMERICANOS S.A. - LABOT S.A.	CISEN PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
57176	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Frasco x 1000 mL	1	EE11528	MEDITEC SOLUTIONS PERU S.A.C.	SHANDONG QIDU  PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
57179	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Frasco x 100 mL	1	EE11528	MEDITEC SOLUTIONS PERU S.A.C.	SHANDONG QIDU  PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
57485	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Frasco x 500 mL	24	EN02524	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
57452	CLORURO DE SODIO	20 %	CONCENTRADO PARA SOLUCION INYECTABLE	Caja Ampolla x 20 mL	20	EE00897	LABORATORIOS AMERICANOS S.A. - LABOT S.A.	ZHEJIANG RUIXIN PHARMACEUTICAL CO. LTD-CHINA	CLORURO DE SODIO + AGUA ESTERIL PARA INYECCION	ESPECIALIDAD FARMACEUTICA	ACT
57584	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Frasco x 100 mL	1	EE12144	ALKHOFAR SOCIEDAD ANONIMA CERRADA	SHANDONG QIDU  PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
55147	CLORURO DE SODIO	9 ‰	Solución para Perfusión	Bolsa x 100 mL	1	EN04226	MEDIFARMA S.A.	MEDIFARMA S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
56224	CLORURO DE SODIO	0.9 %	Solución Inyectable Para Perfusión	Caja Frasco x 100 mL	1	EE02496	SEVEN & ELEVEN DAIKORP S.A.C.	ACULIFE HEALTHCARE PRIVATE LIMITED - INDIA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
56225	CLORURO DE SODIO	0.9 %	Solución Inyectable Para Perfusión	Caja Frasco x 250 mL	1	EE02496	SEVEN & ELEVEN DAIKORP S.A.C.	ACULIFE HEALTHCARE PRIVATE LIMITED - INDIA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
56134	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Caja Frasco x 100 mL	1	EE11159	ALKHOFAR SOCIEDAD ANONIMA CERRADA	BENGBU BBCA TUSHAN PHARMACEUTICAL CO.,LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
56110	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Ampolla x 20 mL	5	EE09866	DROGUERIA DANY S.A.C.	SHANDONG QIDU  PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
58609	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Caja Sobrebolsa con Bolsa x 250 mL	50	EE00062	MEDIFARMA S.A.	LABORATORIO SANDERSON S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
58612	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Caja Sobrebolsa con Bolsa x 500 mL	28	EE00062	MEDIFARMA S.A.	LABORATORIO SANDERSON S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
58614	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Caja Sobrebolsa con Bolsa x 1000 mL	14	EE00062	MEDIFARMA S.A.	LABORATORIO SANDERSON S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
58604	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Caja Sobrebolsa con Bolsa x 100 mL	95	EE00062	MEDIFARMA S.A.	LABORATORIO SANDERSON S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
58568	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Frasco x 100 mL	1	EE12480	DROGUERIA CORPORACION FARMASALUD E.I.R.L.	SHANDONG QIDU  PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
58510	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Sobrebolsa con Bolsa x 1000 mL	1	EE00062	MEDIFARMA S.A.	LABORATORIO SANDERSON S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
58439	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Frasco x 250 mL	1	EE11159	ALKHOFAR SOCIEDAD ANONIMA CERRADA	BENGBU BBCA TUSHAN PHARMACEUTICAL CO.,LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
58357	CLORURO DE SODIO	0.9 %	Solución Inyectable Para Perfusión	Caja Frasco x 1000 mL	1	EE02496	SEVEN & ELEVEN DAIKORP S.A.C.	ACULIFE HEALTHCARE PRIVATE LIMITED - INDIA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
58415	CLORURO DE SODIO	0.9 %	Solución Inyectable Para Perfusión	Frasco x 250 mL	250	EE02496	SEVEN & ELEVEN DAIKORP S.A.C.	ACULIFE HEALTHCARE PRIVATE LIMITED - INDIA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
58413	CLORURO DE SODIO	20 %	CONCENTRADO PARA SOLUCION INYECTABLE	Caja Ampolla x 20 mL	100	EE01321	OQCORP SOCIEDAD ANONIMA CERRADA - OQCORP S.A.C.	HEBEI TIANCHENG PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
58314	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Caja Frasco x 100 mL	50	EE09983	DROGUERIA DANY S.A.C.	SHANDONG QIDU  PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
57629	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Caja Frasco x 1000 mL	15	EE09983	DROGUERIA DANY S.A.C.	SHANDONG QIDU  PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
57939	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Caja Frasco x 1000 mL	12	EE09983	DROGUERIA DANY S.A.C.	SHANDONG QIDU  PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
58160	CLORURO DE SODIO	0.9 %	Solución Inyectable Para Perfusión	Caja Frasco x 500 mL	1	EE02496	SEVEN & ELEVEN DAIKORP S.A.C.	ACULIFE HEALTHCARE PRIVATE LIMITED - INDIA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
58049	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Frasco x 1000 mL	1	EE12144	ALKHOFAR SOCIEDAD ANONIMA CERRADA	SHANDONG QIDU  PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
59112	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Frasco x 500 mL	1	EE00781	NORDIC PHARMACEUTICAL COMPANY S.A.C.	AMANTA HEALTHCARE LTD - INDIA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
59816	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Caja Frasco x 100 mL	50	EE13183	DROGUERIA LIPHARMA S.A.C.	HARBIN MEDISAN PHARMACEUTICAL CO., LTD	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
59909	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Caja Frasco x 250 mL	1	EE05745	LABORATORIOS AMERICANOS S.A. - LABOT S.A.	CISEN PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
59910	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Caja Frasco x 100 mL	1	EE05745	LABORATORIOS AMERICANOS S.A. - LABOT S.A.	CISEN PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
59972	CLORURO DE SODIO	0.9 %	Solución Inyectable Para Perfusión	Caja Frasco x 100 mL	1	EE02496	SCR SERVICIOS DE REPRESENTACION REGULATORIA S.A.C.	ACULIFE HEALTHCARE PRIVATE LIMITED - INDIA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
59598	CLORURO DE SODIO	0.9 %	Solución Inyectable	Frasco x 1000 mL	1	EN01112	LABORATORIOS UNIDOS S.A. - LUSA	LABORATORIOS UNIDOS S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
59602	CLORURO DE SODIO	20 %	Concentrado para Solución para Perfusión	Caja Ampolla x 20 mL	1	EE12774	BIOGENERIC PRODUCTS M & M S.A.C.	SHANDONG QIDU  PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
59603	CLORURO DE SODIO	20 %	Concentrado para Solución para Perfusión	Caja Ampolla x 20 mL	5	EE12774	BIOGENERIC PRODUCTS M & M S.A.C.	SHANDONG QIDU  PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
59464	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Frasco x 1000 mL	1	EE04402	OQCORP SOCIEDAD ANONIMA CERRADA - OQCORP S.A.C.	HEBEI TIANCHENG PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
54345	CLORURO DE SODIO	20 %	Concentrado para Solución para Perfusión	Caja Ampolla x 20 mL	5	EE09891	DROGUERIA DANY S.A.C.	SHANDONG QIDU  PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
54390	CLORURO DE SODIO	0.9 %	Solución Inyectable	Frasco x 100 mL	1	EN02524	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
54183	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Frasco x 100 mL	1	EE04402	OQCORP SOCIEDAD ANONIMA CERRADA - OQCORP S.A.C.	HEBEI TIANCHENG PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
54184	CLORURO DE SODIO	0.9 %	Solución Inyectable	Frasco x 1000 mL	1	EE04402	OQCORP SOCIEDAD ANONIMA CERRADA - OQCORP S.A.C.	HEBEI TIANCHENG PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
54185	CLORURO DE SODIO	0.9 %	Solución Inyectable	Frasco x 250 mL	1	EE04402	OQCORP SOCIEDAD ANONIMA CERRADA - OQCORP S.A.C.	HEBEI TIANCHENG PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
54186	CLORURO DE SODIO	0.9 %	Solución Inyectable	Frasco x 500 mL	1	EE04402	OQCORP SOCIEDAD ANONIMA CERRADA - OQCORP S.A.C.	HEBEI TIANCHENG PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
54187	CLORURO DE SODIO	20 %	CONCENTRADO PARA SOLUCION INYECTABLE	Caja Ampolla x 20 mL	25	EE01321	OQCORP SOCIEDAD ANONIMA CERRADA - OQCORP S.A.C.	HEBEI TIANCHENG PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
54262	CLORURO DE SODIO	0.9 %	Solución Inyectable	Frasco x 100 mL 	1	EE04402	OQCORP SOCIEDAD ANONIMA CERRADA - OQCORP S.A.C.	HEBEI TIANCHENG PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
53984	CLORURO DE SODIO	0.9 %	Solución para Irrigación	Frasco x 1000 mL	1	EN06500	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
53991	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Sobre Bolsa con Bolsa x 1000 mL	14	EE00062	FRESENIUS KABI PERU S.A.	LABORATORIO SANDERSON S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
53992	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Frasco x 100 mL	20	EE00062	FRESENIUS KABI PERU S.A.	LABORATORIO SANDERSON S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
53994	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Sobre Bolsa con Bolsa x 250 mL	50	EE00062	FRESENIUS KABI PERU S.A.	LABORATORIO SANDERSON S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
53996	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Ampolla x 5 mL	100	EE00062	FRESENIUS KABI PERU S.A.	LABORATORIO SANDERSON S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
54819	CLORURO DE SODIO	0.9 %	Solución Inyectable	Frasco x 50 mL	1	EN02524	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
54859	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Caja Frasco x 100 mL	100	EE09983	DROGUERIA DANY S.A.C.	SHANDONG QIDU  PHARMACEUTICAL CO., LTD.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
53210	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Ampolla x 10 mL	10	EE09427	DROGUERIA DISTRIBUIDORA DANY S.A.C.	JIANGSU RUINIAN QIANJIN PHARMACEUTICAL CO., LTD	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
53338	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Ampolla x 5 mL	10	EE09427	DROGUERIA DISTRIBUIDORA DANY S.A.C.	JIANGSU RUINIAN QIANJIN PHARMACEUTICAL CO., LTD	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
52965	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Frasco x 100 mL	1	EE00781	NORDIC PHARMACEUTICAL COMPANY S.A.C.	AMANTA HEALTHCARE LTD - INDIA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
52722	CLORURO DE SODIO	20 %	Solución Inyectable	Caja Ampolla x 20 mL	100	EE08150	FRESENIUS KABI PERU S.A.	LABORATORIO SANDERSON S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
51302	CLORURO DE SODIO	0.9 %	Solución Inyectable	Caja Ampolla x 20 mL	50	EE00062	FRESENIUS KABI PERU S.A.	LABORATORIO SANDERSON S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
51578	CLORURO DE SODIO	0.9 %	Solución Inyectable	Frasco x 1000 mL	1	EN02524	B. BRAUN MEDICAL PERU S.A.	B. BRAUN MEDICAL AG. - SUIZA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
52293	CLORURO DE SODIO	0.9 %	Solución Inyectable	Sobrebolsa Bolsa x 250 mL	1	EE00488	HERSIL S.A.C. LABORATORIOS INDUSTRIALES FARMACEUTICOS	LABORATORIOS BAXTER S.A. - COLOMBIA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
50154	CLORURO DE SODIO	0.9 %	Solución para Perfusión	Bolsa x 1000 mL	1	EN04226	MEDIFARMA S.A.	MEDIFARMA S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
50274	CLORURO DE SODIO	9 ‰	Solución para Perfusión	Bolsa x 500 mL	1	EN04226	MEDIFARMA S.A.	MEDIFARMA S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
50275	CLORURO DE SODIO	9 ‰	Solución para Perfusión	Caja Bolsa x 500 mL	10	EN04226	MEDIFARMA S.A.	MEDIFARMA S.A.	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
50491	CLORURO DE SODIO	0.9 %	Solución Inyectable	Sobrebolsa Bolsa x 100 mL	1	EE00488	HERSIL S.A.C. LABORATORIOS INDUSTRIALES FARMACEUTICOS	LABORATORIOS BAXTER S.A. - COLOMBIA	CLORURO DE SODIO	ESPECIALIDAD FARMACEUTICA	ACT
